Train Dataset,Train View,Train Model,Test Dataset,Test View,Accuracy,F1,ROC AUC,True Positives,False Positives,True Negatives,False Negatives
pklot,all,shufflenet,pklot,ufpr05_rainy,0.9977603583426652,0.9983579638752053,0.9983606557377049,608,0,283,2
pklot,all_sunny,shufflenet,pklot,ufpr05_rainy,0.9977603583426652,0.9983579638752053,0.9983606557377049,608,0,283,2
pklot,ufpr05,mobilenet,pklot,ufpr05_rainy,0.9977603583426652,0.9983579638752053,0.9983606557377049,608,0,283,2
pklot,ufpr05,shufflenet,pklot,ufpr05_rainy,0.9977603583426652,0.9983579638752053,0.9983606557377049,608,0,283,2
pklot,ufpr05_sunny,shufflenet,pklot,ufpr05_rainy,0.9977603583426652,0.9983579638752053,0.9983606557377049,608,0,283,2
pklot,all,mobilenet,pklot,puc_rainy,0.9977124969901277,0.9982902906505894,0.9971895909924545,5547,12,2740,7
pklot,puc_rainy,mobilenet,pklot,puc_rainy,0.9977124969901277,0.9982905982905983,0.997097930153001,5548,13,2739,6
pklot,all_rainy,mobilenet,pklot,all_rainy,0.9976988494247123,0.9981796596755046,0.9975545477766491,6306,11,3666,12
pklot,all_sunny,mobilenet,pklot,puc_rainy,0.9975921020948711,0.9982001439884809,0.9970995657853966,5546,12,2740,8
pklot,all_rainy,shufflenet,pklot,all_rainy,0.9974987493746873,0.9980232466197517,0.9969983796850507,6311,18,3659,7
pklot,all_sunny,mobilenet,pklot,all_rainy,0.9974987493746873,0.9980210559645373,0.9973962698405934,6304,11,3666,14
pklot,all_rainy,shufflenet,pklot,ufpr04_rainy,0.9974874371859297,0.9959349593495935,0.9981851179673321,245,2,549,0
pklot,puc,mobilenet,pklot,ufpr04_rainy,0.9974874371859297,0.9959016393442623,0.9959183673469387,243,0,551,2
pklot,ufpr04_cloudy,shufflenet,pklot,ufpr04_rainy,0.9974874371859297,0.9959016393442623,0.9959183673469387,243,0,551,2
pklot,puc_rainy,shufflenet,pklot,puc_rainy,0.9974717071996148,0.9981116806042623,0.9965512363810705,5550,17,2735,4
pklot,all_sunny,shufflenet,pklot,all_rainy,0.9973986993496748,0.9979417352754908,0.9973171308725656,6303,11,3666,15
pklot,all_rainy,shufflenet,pklot,puc_rainy,0.9973513123043583,0.9980215827338129,0.9964612111740124,5549,17,2735,5
pklot,all,squeezenet,pklot,puc_cloudy,0.9972134357583974,0.995587358378056,0.9956067442412728,4174,0,9067,37
pklot,ufpr05,mobilenet,pklot,ufpr05_sunny,0.9971969166082691,0.9975528753714386,0.9970186738546382,5707,18,4254,10
pklot,all_cloudy,mobilenet,pklot,all_rainy,0.9969984992496248,0.9976250791640279,0.9968868920988705,6301,13,3664,17
pklot,all_cloudy,mobilenet,pklot,puc_rainy,0.996990127618589,0.997750382434986,0.9963744572317459,5544,15,2737,10
pklot,all_rainy,shufflenet,pklot,all_cloudy,0.9969014576241599,0.9959707167584133,0.9973587707254025,8775,65,14068,6
pklot,all_sunny,mobilenet,pklot,ufpr05,0.9968635020206285,0.9973118279569892,0.9966509659275374,9646,32,6881,20
pklot,puc_sunny,mobilenet,pklot,puc_rainy,0.9967493378280761,0.9975686627645205,0.9964693893359907,5539,12,2740,15
pklot,puc_sunny,shufflenet,pklot,puc_rainy,0.9966289429328197,0.9974802015838733,0.9960127207711182,5542,16,2736,12
pklot,all_cloudy,shufflenet,pklot,puc_sunny,0.9965929267239311,0.9963309389695623,0.9966837406057683,9640,51,11128,20
pklot,ufpr05_rainy,mobilenet,pklot,ufpr05_cloudy,0.9964893803756363,0.9970484061393152,0.9957536665712525,3378,19,2299,1
pklot,all_sunny,mobilenet,pklot,ufpr05_sunny,0.9963960356392031,0.9968575418994413,0.995993596042816,5710,29,4243,7
pklot,all_cloudy,shufflenet,pklot,all_rainy,0.9961980990495247,0.9969903373990179,0.9961969389038557,6294,14,3663,24
pklot,all_cloudy,shufflenet,pklot,puc_rainy,0.9961473633517939,0.9971186745903116,0.99574428078234,5537,15,2737,17
pklot,all_rainy,mobilenet,pklot,ufpr05_cloudy,0.9961383184131999,0.9967532467532467,0.9953899906058354,3377,20,2298,2
pklot,ufpr04_cloudy,shufflenet,pklot,ufpr04,0.9960321209258385,0.9954731623194654,0.9957393998013658,4618,11,5925,31
cnr,cnr_park_ext,shufflenet,cnr,cnr_park_ext_cloudy,0.9959322033898305,0.996122361051271,0.9959005651568515,2312,10,2095,8
pklot,all_cloudy,mobilenet,pklot,puc,0.9958513070739928,0.9955193482688391,0.9960680794949672,19552,154,22695,22
pklot,all_rainy,mobilenet,pklot,puc,0.9958277349550951,0.9954979015642884,0.9961084386862017,19569,172,22677,5
pklot,puc_cloudy,shufflenet,pklot,puc_rainy,0.9957861786660246,0.996847130889109,0.9955658660006199,5533,14,2738,21
pklot,puc_sunny,mobilenet,pklot,all_rainy,0.9956978489244622,0.9965956773018764,0.9955170368097572,6294,19,3658,24
pklot,all_rainy,mobilenet,pklot,ufpr04_cloudy,0.9956841838029957,0.9927874416631312,0.9959456087440043,1170,13,2752,4
pklot,all_sunny,mobilenet,pklot,ufpr05_rainy,0.9955207166853304,0.9967105263157895,0.9967213114754099,606,0,283,4
pklot,ufpr05_rainy,mobilenet,pklot,ufpr05_rainy,0.9955207166853304,0.9967105263157895,0.9967213114754099,606,0,283,4
pklot,ufpr05_rainy,shufflenet,pklot,ufpr05_cloudy,0.9954361944883272,0.9961617950989076,0.9947303690943989,3374,21,2297,5
pklot,puc,shufflenet,pklot,all_rainy,0.9952976488244122,0.9962889853928149,0.994120493372601,6309,38,3639,9
pklot,all_rainy,shufflenet,pklot,ufpr05_cloudy,0.9950851325258908,0.995872641509434,0.9940280410319945,3378,27,2291,1
cnr,all,shufflenet,cnr,cnr_park_ext_cloudy,0.9950282485875707,0.9952504317789291,0.9951045335408304,2305,7,2098,15
pklot,puc_sunny,shufflenet,pklot,all_rainy,0.9949974987493747,0.9960486802592066,0.9941104422716849,6302,34,3643,16
pklot,ufpr04_cloudy,mobilenet,pklot,ufpr04,0.9949929145016533,0.9943126944951175,0.9951626230085129,4633,37,5899,16
