Train Dataset: pklot, Train View: ufpr04_sunny, Train Model: shufflenet, Test Dataset: pklot, Test View: ufpr04, Accuracy: 0.999338686820973
Train Dataset: pklot, Train View: all_cloudy, Train Model: shufflenet, Test Dataset: pklot, Test View: all_cloudy, Accuracy: 0.9993017369293882
Train Dataset: pklot, Train View: ufpr05_sunny, Train Model: mobilenet, Test Dataset: pklot, Test View: ufpr05_cloudy, Accuracy: 0.9992978760751272
Train Dataset: pklot, Train View: ufpr05_sunny, Train Model: shufflenet, Test Dataset: pklot, Test View: ufpr05_cloudy, Accuracy: 0.9992978760751272
Train Dataset: pklot, Train View: puc_sunny, Train Model: mobilenet, Test Dataset: pklot, Test View: puc, Accuracy: 0.9992692643141692
Train Dataset: pklot, Train View: all_cloudy, Train Model: mobilenet, Test Dataset: pklot, Test View: ufpr04_cloudy, Accuracy: 0.9992383853769993
Train Dataset: pklot, Train View: ufpr04, Train Model: shufflenet, Test Dataset: pklot, Test View: ufpr04_cloudy, Accuracy: 0.9992383853769993
Train Dataset: pklot, Train View: all, Train Model: shufflenet, Test Dataset: pklot, Test View: all_sunny, Accuracy: 0.9992365995964884
Train Dataset: pklot, Train View: all_sunny, Train Model: shufflenet, Test Dataset: pklot, Test View: all_cloudy, Accuracy: 0.9992144540455616
Train Dataset: pklot, Train View: all_rainy, Train Model: shufflenet, Test Dataset: pklot, Test View: puc_cloudy, Accuracy: 0.9991715619822262
Train Dataset: pklot, Train View: ufpr04_sunny, Train Model: mobilenet, Test Dataset: pklot, Test View: ufpr04_sunny, Accuracy: 0.9991452991452991
Train Dataset: pklot, Train View: all_cloudy, Train Model: shufflenet, Test Dataset: pklot, Test View: ufpr05_cloudy, Accuracy: 0.9991223450939091
Train Dataset: pklot, Train View: all_sunny, Train Model: mobilenet, Test Dataset: pklot, Test View: ufpr05_cloudy, Accuracy: 0.9991223450939091
Train Dataset: pklot, Train View: all, Train Model: shufflenet, Test Dataset: pklot, Test View: all, Accuracy: 0.9990659040611617
Train Dataset: pklot, Train View: all, Train Model: mobilenet, Test Dataset: pklot, Test View: all_sunny, Accuracy: 0.9990457494956104
Train Dataset: pklot, Train View: puc_rainy, Train Model: mobilenet, Test Dataset: pklot, Test View: puc_cloudy, Accuracy: 0.9990209368880856
Train Dataset: pklot, Train View: puc_rainy, Train Model: shufflenet, Test Dataset: pklot, Test View: puc_cloudy, Accuracy: 0.9990209368880856
Train Dataset: pklot, Train View: ufpr05_sunny, Train Model: shufflenet, Test Dataset: pklot, Test View: ufpr05_sunny, Accuracy: 0.9989988987886675
Train Dataset: pklot, Train View: all, Train Model: mobilenet, Test Dataset: pklot, Test View: ufpr04_sunny, Accuracy: 0.9989743589743589
Train Dataset: pklot, Train View: all_sunny, Train Model: shufflenet, Test Dataset: pklot, Test View: ufpr05, Accuracy: 0.9989142891609868
Train Dataset: pklot, Train View: ufpr05_sunny, Train Model: shufflenet, Test Dataset: pklot, Test View: ufpr05, Accuracy: 0.9989142891609868
Train Dataset: pklot, Train View: all, Train Model: shufflenet, Test Dataset: pklot, Test View: ufpr05_sunny, Accuracy: 0.9988987886675343
Train Dataset: pklot, Train View: all, Train Model: mobilenet, Test Dataset: pklot, Test View: ufpr05_rainy, Accuracy: 0.9988801791713325
Train Dataset: pklot, Train View: all_rainy, Train Model: shufflenet, Test Dataset: pklot, Test View: ufpr05_rainy, Accuracy: 0.9988801791713325
Train Dataset: pklot, Train View: ufpr05_rainy, Train Model: shufflenet, Test Dataset: pklot, Test View: ufpr05_rainy, Accuracy: 0.9988801791713325
